transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
41004,AGUNG MAKMUR -28,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
41016,SUMBER JAYA,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,NISSAN
41813,MINA SAMUDERA,Longline Tuna,300,NJO MONIKA,NISSAN
42825,LAUT SUBUR -7,Purse Seine Big Pelagics with one boat,600,PAHALA SAMUDERA FISHERY INDUSTRIES,CUMMINS
42829,KAKAP MINA UTAMA,Longline Tuna,350,BUYUNG,NISSAN
43930,PATRIOT,Purse Seine Small Pelagics,350,JULIANTI DEWI,NISSAN
43936,PERMATA 188,Longline Tuna,#N/A,#N/A,#N/A
43943,MUTIARA No. 22,Longline Tuna,#N/A,#N/A,#N/A
43945,MUTIARA No. 38,Longline Tuna,#N/A,#N/A,#N/A
44273,HIROYOSHI 06,Transporter,420,INTIMAS SURYA,NISSAN
44273,HIROYOSHI -6,Transporter,420,INTIMAS SURYA,NISSAN
44273,HIROYOSHI -6,Longline Tuna,420,INTIMAS SURYA,NISSAN
44273,HIROYOSHI 06,Longline Tuna,420,INTIMAS SURYA,NISSAN
47717,DANAU TOBA INDAH -V,Purse Seine Big Pelagics with one boat,420,ANDREAS SULYSTIO,NISSAN
47719,SINAR JAYA,Purse Seine Big Pelagics with one boat,370,YENNY SULYSTIO,NISSAN
52548,CHARLY TUNA WIJAYA -11,Longline Tuna,545,PERMATA MARINDO JAYA,MITSUBISHI
52549,JIMMY WIJAYA -12,Longline Tuna,370,SURYA LUNG,NISSAN
52574,LAUT SUBUR -5,Purse Seine Big Pelagics with one boat,370,PAHALA SAMUDERA FISHERY INDUSTRIES,NISSAN
52597,INDAH JAYA MAKMUR -9,Purse Seine Big Pelagics with one boat,370,YAP WIE HAN,NISSAN
55269,INDAH KAIL,Purse Seine Big Pelagics with one boat,370,MARHALIM,NISSAN
55271,NAILI - 17,Longline Tuna,#N/A,#N/A,#N/A
56066,STARINDO JAYA MAJU I,Longline Tuna,280,HENDRA,NISSAN
56067,UNITED -XXII,Longline Tuna,#N/A,#N/A,#N/A
56676,UNION JAYA -I,Transporter,#N/A,#N/A,#N/A
58307,PERMATA  -318,Longline Tuna,#N/A,#N/A,#N/A
59623,HIROYOSHI -7,Transporter,350,FARIDA,NISSAN
59623,HIROYOSHI -7,Longline Tuna,350,FARIDA,NISSAN
63309,MITRA BAHARI,Longline Tuna,300,CUN GIE,MITSUBISHI
65135,MINA ANUGRAH -18,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
65139,SINAR MINA PERKASA -2,Transporter,#N/A,#N/A,#N/A
65143,BINTANG SUMBER MAS -B,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
65145,NUSANTARA JAYA,Purse Seine Big Pelagics with one boat,420,TJIA SUI JONG,NISSAN
65163,NUSANTARA INDAH -VIII,Purse Seine Big Pelagics with one boat,420,EDY SYAHPUTRA,NISSAN
65165,SURYA MINA,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
65166,SUMBER JAYA  B,Purse Seine Big Pelagics with one boat,420,BINTANG HARAPAN JAYA,NISSAN
65222,SUMBER JAYA -V,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
65237,BINTANG SUMBER HASIL -B,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,NISSAN
65239,BINTANG REJEKI -A,Purse Seine Small Pelagics,350,BINTANG HARAPAN JAYA,NISSAN
65240,UNITED -XV,Longline Tuna,370,UNIVERSAL SAMUDERA SUKSES,NISSAN
65241,UNITED -XXIII,Longline Tuna,#N/A,#N/A,#N/A
65243,UNITED -XI,Longline Tuna,370,UNIVERSAL SAMUDERA SUKSES,NISSAN
65244,UNITED -XIX,Longline Tuna,#N/A,#N/A,#N/A
65267,SINAR MINA PERKASA -I,Transporter,420,MARKUS JUSTIO,NISSAN
68969,LANGSUNG JAYA ANUGRAH,Longline Tuna,370,MANDIRI JAYA SAMUDRA,NISSAN
68992,SUMBER JAYA -1A,Purse Seine Small Pelagics,420,SUMBER JAYA WISESA,NISSAN
68992,SUMBER JAYA -1A,Purse Seine Big Pelagics with one boat,420,SUMBER JAYA WISESA,NISSAN
70035,BINTANG ARINDO UTAMA,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
73601,JIMMY WIJAYA 3,Transporter,#N/A,#N/A,#N/A
73605,SINAR ARINDO -79,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
73607,JIMMY WIJAYA -17,Longline Tuna,#N/A,#N/A,#N/A
73607,CHARLY TUNA WIJAYA  -10,Longline Tuna,#N/A,#N/A,#N/A
73612,BINTANG REJEKI -8,Purse Seine Small Pelagics,370,DUA SEKAWAN SEMPURNA MANDIRI,NISSAN
73631,PRIMA UNITED,Purse Seine Big Pelagics with one boat,370,RONY CHRISTIAWAN SALAM,NISSAN
73634,SINAR ARINDO -66,Purse Seine Big Pelagics with one boat,370,ANTON GUNARSO,NISSAN
73643,PRIMA BINTANG UNITED,Purse Seine Big Pelagics with one boat,420,GRAHA INSAN SEJAHTERA,NISSAN
73649,UNGGUL JAYA,Purse Seine Big Pelagics with one boat,300,GUNAWAN,MITSUBISHI
73652,BINTANG SAMUDRA PERKASA,Purse Seine Big Pelagics with one boat,370,IWANDI KARSO,NISSAN
73653,HASIL LAUT -38,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
73678,PERMATA 168,Longline Tuna,#N/A,#N/A,#N/A
73682,SUMBER TUNA,Longline Tuna,370,FARIDA,NISSAN
73682,SUMBER TUNA,Transporter,370,FARIDA,NISSAN
73687,NUSANTARA INDAH VII,Purse Seine Small Pelagics,370,ISKAK KENANGA,NISSAN
73696,HASIL MINA -II,Purse Seine Big Pelagics with one boat,370,ARTA MINA JAYA,NISSAN
73716,FIRMA JAYA ABADI,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,NISSAN
73732,JAYA BAHARI,Purse Seine Small Pelagics,370,DUA SEKAWAN SEMPURNA MANDIRI,NISSAN
73733,HALOGEN STAR,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
73736,TEGUH UNITED,Purse Seine Big Pelagics with one boat,370,SALIMUN  (TEK LIE),NISSAN
73739,JIMMY WIJAYA -17,Longline Tuna,#N/A,#N/A,#N/A
73750,INDRA JAYA -II,Longline Tuna,350,CHANDRA,NISSAN
73752,PERMATA TUNA WIJAYA -01,Transporter,#N/A,#N/A,#N/A
73754,LASKAR PELANGI -88,Longline Tuna,#N/A,#N/A,#N/A
73754,LASKAR PELANGI,Longline Tuna,#N/A,#N/A,#N/A
73758,HARAPAN JAYA  -XIX,Purse Seine Big Pelagics with one boat,420,HASIL ALAM SAMUDERA,NISSAN
73775,SUMBER JAYA -A,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,NISSAN
73963,RODA TERBANG 01,Longline Tuna,370,MITRA USAHA SAMUDERA,NISSAN
73963,RODA TERBANG -01,Longline Tuna,370,MITRA USAHA SAMUDERA,NISSAN
73967,MINA SEMPURNA 89,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
73968,CAHAYA SETIA,Purse Seine Big Pelagics with one boat,420,HANDAYANI SULYSTIO,NISSAN
73975,SINAR ARINDO -77,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
73976,PERMATA 106,Longline Tuna,#N/A,#N/A,#N/A
73982,SUN RISE -III,Longline Tuna,420,CHARLYWIJAYA TUNA,NISSAN
74004,INDAH MAKMUR -22,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
74011,CHARLY TUNA WIJAYA -8,Longline Tuna,#N/A,#N/A,#N/A
74017,SINAR MINA LESTARI,Purse Seine Small Pelagics,420,WINOTO,NISSAN
74018,JIMMY WIJAYA -28,Longline Tuna,370,CHARLYWIJAYA TUNA,NISSAN
74038,BAHARI NUSANTARA -I,Purse Seine Big Pelagics with one boat,370,HORIZON SAMUDERA INDONESIA,NISSAN
74041,SUMBER JAYA VI,Purse Seine Big Pelagics with one boat,370,SUMBER JAYA WISESA,NISSAN
74044,JAWA SENTOSA,Purse Seine Big Pelagics with one boat,420,BINTANG HARAPAN JAYA,NISSAN
74046,BAHTERA MAKMUR,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
74047,BINTANG REJEKI -B,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,MITSUBISHI
74048,BINTANG REJEKI -V,Purse Seine Big Pelagics with one boat,420,BINTANG HARAPAN JAYA,NISSAN
74055,CHARLY TUNA WIJAYA -6,Longline Tuna,600,TUNA PERMATA REZEKI,MITSUBISHI
74058,NENGGALA -01,Longline Tuna,#N/A,#N/A,#N/A
74066,LUCKY HAPPY,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
74086,HASIL LAUT -III,Transporter,#N/A,#N/A,#N/A
74087,CHARLY TUNA WIJAYA -16,Longline Tuna,700,TUNA PERMATA REZEKI,CUMMINS
74100,99 JAYA UTAMA -I,Purse Seine Big Pelagics with one boat,420,SEMBILAN ANUGRAH PERSADA,NISSAN
74100,JAYA UTAMA -18,Purse Seine Big Pelagics with one boat,420,SEMBILAN ANUGRAH PERSADA,NISSAN
74109,PRIMA UTAMA JAYA -VI,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
74197,HAITERI JAYA UTAMA,Purse Seine Small Pelagics,350,NUSANTARA ARTHA PRATAMA,NISSAN
74199,AW. MAKMUR -I,Purse Seine Big Pelagics with one boat,350,ANTO WIBOWO SARMAN,NISSAN
81478,MUTIARA 9,Longline Tuna,350,INTIMAS SURYA,MITSUBISHI
81486,MUTIARA -5,Purse Seine Small Pelagics,310,INTIMAS SURYA,MITSUBISHI
81486,MARLBORO,Purse Seine Small Pelagics,310,INTIMAS SURYA,MITSUBISHI
81519,SAMUDERA DUA,Longline Tuna,#N/A,#N/A,#N/A
81555,KARYA LAUTAN KIRANA -2,Transporter,420,SUTRISNO,NISSAN
81696,NUSANTARA INDAH -IX,Purse Seine Big Pelagics with one boat,420,DEVI KENANGA,NISSAN
87078,HANNOVER,Purse Seine Big Pelagics with one boat,350,NUSANTARA ARTHA PRATAMA,NISSAN
87097,CAHAYA ABADI -II,Longline Tuna,#N/A,#N/A,#N/A
87128,SUKSES ABADI JAYA,Purse Seine Big Pelagics with one boat,350,JIU EDY SUTRISNO,NISSAN
87153,MALINDO SUKSES,Transporter,#N/A,#N/A,#N/A
87174,MUTIARA -10,Longline Tuna,350,INTIMAS SURYA,MITSUBISHI
87185,MUTIARA  -11,Longline Tuna,0,INTIMAS SURYA,MITSUBISHI
87254,NAGA MAS,Purse Seine Big Pelagics with one boat,350,VICTOR HENRY,NISSAN
97256,CAKRAWALA -XI,Transporter,420,KENT HASIL LAUT,NISSAN
97265,BINTANG SEJATI -I,Purse Seine Big Pelagics with one boat,420,SALAM,NISSAN
97265,BINTANG SEJATI I,Purse Seine Big Pelagics with one boat,420,SALAM,NISSAN
97267,JIMMY WIJAYA -20,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
99444,SAHABAT INDAH,Longline Tuna,#N/A,#N/A,#N/A
99464,HASIL LAUT II,Transporter,#N/A,#N/A,#N/A
102916,DWI SUKSES KENCANA,Stick-Held lift net,#N/A,#N/A,#N/A
103121,BINTANG SAMPURNA -B,Purse Seine Big Pelagics with one boat,360,BINTANG HARAPAN JAYA,NISSAN
109961,MUTIARA No 26,Longline Tuna,#N/A,#N/A,#N/A
110006,BINTANG LAUT,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
110010,BINTANG PUTRA MANDIRI -V,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
110019,STARINDO JAYA MAJU -VII,Purse Seine Small Pelagics,420,TIAN CAN,NISSAN
110048,SUMBER SEJATI,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
110050,ANUGERAH  SEJATI,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
114465,MERPATI -III,Purse Seine Big Pelagics with one boat,420,ARIEF SURYADI HALIM,NISSAN
114469,DEWA GUCI,Purse Seine Big Pelagics with one boat,350,SUKAMTO,NISSAN
116639,BINTANG SAMPURNA JAYA,Purse Seine Big Pelagics with one boat,340,BINTANG HARAPAN JAYA,MITSUBISHI
116925,TRI JAYA -88,Purse Seine Big Pelagics with one boat,420,TRI JAYA MAKMUR,NISSAN
123787,BINTANG ASIA -II,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
123798,SEJATI JAYA,Purse Seine Big Pelagics with one boat,450,SUMBER SEJATI MARINA,NISSAN
123981,SUMAN JAYA PERKASA -XII,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
124266,MAJU SETIA -1,Purse Seine Small Pelagics,290,HARTONO,MITSUBISHI
124267,MAJU SETIA -2,Purse Seine Big Pelagics with one boat,300,MAJU ABADI,NISSAN
124267,MAJU ABADI -7,Purse Seine Big Pelagics with one boat,300,MAJU ABADI,NISSAN
124476,BINTANG SAMUDRA PRO,Purse Seine Big Pelagics with one boat,420,GUNAWAN AGUSTIN,NISSAN
124737,UNITED -XX,Longline Tuna,370,UNIVERSAL SAMUDERA SUKSES,NISSAN
124778,BINTANG JAYA 28,Purse Seine Big Pelagics with one boat,350,ROGER KAMIL,NISSAN
124790,BINTANG JAYA 29,Purse Seine Big Pelagics with one boat,350,ROGER KAMIL,NISSAN
124791,BINTANG MINA SAMUDERA,Purse Seine Big Pelagics with one boat,350,ANTONI,NISSAN
125141,SUMBER JAYA VIII,Purse Seine Small Pelagics,370,SUMBER JAYA WISESA,NISSAN
125283,UNITED 30,Longline Tuna,#N/A,#N/A,#N/A
125286,UNITED - XXI,Longline Tuna,#N/A,#N/A,#N/A
125290,SUMAN JAYA PERKASA -II,Purse Seine Big Pelagics with one boat,370,SUMAN KARYA PERSADA,NISSAN
125312,JIMMY WIJAYA -29,Longline Tuna,#N/A,#N/A,#N/A
125327,SINAR MAKMUR 305,Purse Seine Big Pelagics with one boat,420,ANUGRAH NIAGA SAMUDERA,NISSAN
125346,PRIMA NUSANTARA,Purse Seine Big Pelagics with one boat,370,GRAHA INSAN SEJAHTERA,NISSAN
125523,PUTRA SUKSES MANDIRI -V,Purse Seine Big Pelagics with one boat,400,BINTANG HARAPAN JAYA,MITSUBISHI
125532,UNITED IX,Longline Tuna,#N/A,#N/A,#N/A
125536,UNITED -XXV,Longline Tuna,#N/A,#N/A,#N/A
125537,UNITED -XIV,Longline Tuna,280,UNIVERSAL SAMUDERA SUKSES,MITSUBISHI
140249,SEJATI MANDIRI,Purse Seine Big Pelagics with one boat,500,SUMBER SEJATI MARINA,NISSAN
140251,BINTANG SUKSES MANDIRI -A,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,MITSUBISHI
140365,AGUNG MAKMUR  XXII,Purse Seine Big Pelagics with one boat,420,VERAWATI,NISSAN
140427,UNITED -VIII,Longline Tuna,#N/A,#N/A,#N/A
140439,UNITED -26,Longline Tuna,280,CELINE YOSEPHINE,HINO
140450,PRIMA JAYA BAHARI,Purse Seine Small Pelagics,420,AGUS SUSANTO,NISSAN
140516,PUTRA SUKSES MANDIRI -A,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,MITSUBISHI
141222,KENCANA MAS -II,Longline Tuna,220,INDOJOY FORTUNA,MITSUBISHI
141223,JIMMY WIJAYA -25,Longline Tuna,420,CHARLYWIJAYA TUNA,NISSAN
141228,HARMONI-IV,Transporter,370,SINAR MALALUGIS MAKMUR,NISSAN
4443717,BINTANG MUTIARA V,Longline Tuna,370,SUSANA,NISSAN
4443719,BINTANG MUTIARA III,Longline Tuna,370,BUDIANTO,NISSAN
4444592,CITERA SURYA NUSANTARA -V,Longline Tuna,370,MARWAN,NISSAN
4444774,AGUNG BERKAH,Longline Tuna,370,WAHID / AL TJINTIK,NISSAN
4445002,BANDAR NELAYAN -275,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4445007,PERINTIS JAYA -37,Longline Tuna,370,PERINTIS JAYA INTERNASIONAL,NISSAN
4445008,PERINTIS JAYA -88,Longline Tuna,370,PERINTIS JAYA INTERNASIONAL,NISSAN
4445802,SURYA NELAYAN,Longline Tuna,370,SUPONO,NISSAN
4449118,BANDAR NELAYAN -285,Longline Tuna,#N/A,#N/A,#N/A
4464859,HASIL MELIMPAH 23,Longline Tuna,295,DEBORA JULIATI,NISSAN
4464859,HASIL MELIMPAH -23,Longline Tuna,295,DEBORA JULIATI,NISSAN
4468791,MATSAM JAYA -08,Longline Tuna,650,AMIR,MITSUBISHI
4468791,MATSAM JAYA 08,Longline Tuna,650,AMIR,MITSUBISHI
4468856,MEKAR KENCANA 99,Purse Seine Big Pelagics with one boat,420,MEKAR KENCANA MAKMUR,NISSAN
4470891,PERINTIS JAYA -36,Longline Tuna,350,PERINTIS JAYA INTERNASIONAL,NISSAN
4470891,PERINTIS JAYA 36,Longline Tuna,350,PERINTIS JAYA INTERNASIONAL,NISSAN
4471827,HASIL LAUT 30,Longline Tuna,420,KENT HASIL LAUT,NISSAN
4471827,HASIL LAUT -30,Longline Tuna,420,KENT HASIL LAUT,NISSAN
4473484,MAULANA 16,Purse Seine Small Pelagics,370,CHANDRA GUNAWAN,NISSAN
4473484,MAULANA -16,Purse Seine Small Pelagics,370,CHANDRA GUNAWAN,NISSAN
4478983,VALLERIE -I,Longline Tuna,310,MARYONO,MITSUBISHI
4478983,VALLERIE I,Longline Tuna,310,MARYONO,MITSUBISHI
4479783,CITRA MAJU 86,Longline Tuna,#N/A,#N/A,#N/A
4481835,TRIKA SAMUDRA,Longline Tuna,#N/A,#N/A,#N/A
4483959,CROWN MARITIM -III,Transporter,#N/A,#N/A,#N/A
4483959,CROWN MARITIM III,Transporter,#N/A,#N/A,#N/A
4489866,MITRA BAHARI,Purse Seine Big Pelagics with one boat,370,WILSON MUKTAR,NISSAN
4509355,CAHAYA BUDI MAKMUR H112,Purse Seine Big Pelagics with one boat,420,CAHAYA BUDI MAKMUR,NISSAN
4509355,CAHAYA BUDI MAKMUR H-112,Purse Seine Big Pelagics with one boat,420,CAHAYA BUDI MAKMUR,NISSAN
4511087,AQUARIUS -VI,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4511087,AQUARIUS VI,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4511758,GOLDEN TUNA 66,Longline Tuna,520,GOLDEN TUNA,NISSAN
4511758,GOLDEN TUNA -66,Longline Tuna,520,GOLDEN TUNA,NISSAN
4517969,CHARLY TUNA WIJAYA -12,Longline Tuna,370,PERMATA MARINDO JAYA,NISSAN
4519262,HARAPAN BERSAMA,Purse Seine Big Pelagics with one boat,450,HARIYONO,NISSAN
4521350,JIMMY WIJAYA 26,Longline Tuna,#N/A,#N/A,#N/A
4521350,JIMMY WIJAYA -26,Longline Tuna,#N/A,#N/A,#N/A
4522622,EKA JAYA -8,Purse Seine Big Pelagics with one boat,350,TOMMY LAUREN,CUMMINS
4522622,EKA JAYA 8,Purse Seine Big Pelagics with one boat,350,TOMMY LAUREN,CUMMINS
4532211,SINAR MENTARI -02,Longline Tuna,280,SINAR MENTARI BAHARI,MITSUBISHI
4532211,SINAR MENTARI 02,Longline Tuna,280,SINAR MENTARI BAHARI,MITSUBISHI
4533258,CHARLY TUNA WIJAYA -9,Longline Tuna,420,ZHANG MARINA INDONESIA,NISSAN
4534480,PRINCESS II,Longline Tuna,#N/A,#N/A,#N/A
4534480,PRINCESS -II,Longline Tuna,#N/A,#N/A,#N/A
4536111,SETIA,Purse Seine Big Pelagics with one boat,600,RAMLI SUKI,CUMMINS
4537518,WIRTA 7,Longline Tuna,#N/A,#N/A,#N/A
4537826,STARINDO JAYA VII,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4537831,HASIL MELIMPAH II,Longline Tuna,300,BERKAH MELIMPAH JAYA,NISSAN
4537831,HASIL MELIMPAH -II,Longline Tuna,300,BERKAH MELIMPAH JAYA,NISSAN
